DOY;Hour;Temperature__C_;SolarRadiation0__W_m2_;SolarRadiation30__W_m2_;WindSpeed_m_s_;WindDirection___;Pressure_hPa_;Precipitation_mm_;CloudCover___;CloudType_H_M_L_;PoutDC;GHIClearSky;DateNum;GHImeas;TAMBmeas
39;0;3;0;0;2.5;278;1013;0;61;0;0;0;735638;0;4.07166666666667
39;1;2.5;0;0;2.22;270;1013;0;54;0;0;0;735638.041666667;0;3.34833333333333
39;2;2.6;0;0;1.94;270;1013;0;81;0;0;0;735638.083333333;0;3.41166666666667
39;3;2.8;0;0;1.94;259;1012;0;91;0;0;0;735638.125;0;2.81666666666667
39;4;2.5;0;0;1.67;256;1012;0;100;0;0;0;735638.166666667;0;2.75333333333333
39;5;2.3;0;0;1.67;254;1012;0;100;0;0;0;735638.208333333;0;2.105
39;6;2.1;0;0;1.39;257;1012;0;100;0;0;0;735638.25;0;1.84666666666667
39;7;2;0;0;1.67;247;1012;0;100;0;0;0;735638.291666667;0.166666666666667;1.09333333333333
39;8;2.2;29;29;0.83;245;1012;0;100;0;5.42302810668947;92;735638.333333333;22.6666666666667;0.811666666666667
39;9;3.1;130;260;1.39;258;1013;0;100;0;18.6646752241097;244;735638.375;73.3333333333333;0.87
39;10;4.1;207;404;0;306;1013;0;100;0;37.4080201721192;375;735638.416666667;144;1.43166666666667
39;11;5.3;260;474;1.11;72;1012;0;100;0;37.3906886182472;461;735638.458333333;153;3.30666666666667
39;12;6.1;301;535;1.67;90;1011;0;100;0;77.4022691090902;491;735638.5;262.333333333333;6.05166666666667
39;13;6.8;179;317;1.94;97;1011;0;100;0;40.8498813743376;461;735638.541666667;169.333333333333;7.09833333333333
39;14;6.7;120;217;1.94;120;1011;0;100;0;14.9502449154463;375;735638.583333333;64.3333333333333;7.195
39;15;7.4;148;282;2.5;110;1009;0;100;0;7.68527687898913;244;735638.625;34.3333333333333;7.08
39;16;7.2;65;130;2.78;65;1008;0.2;100;0;2.43806457519531;92;735638.666666667;10.8333333333333;6.17166666666667
39;17;6.2;11;11;1.94;87;1008;1.4;100;0;0.0406344095865885;0;735638.708333333;1.66666666666667;5.94333333333333
39;18;6.2;0;0;2.22;61;1008;1;100;0;0;0;735638.75;0;5.47333333333333
39;19;5.9;0;0;2.22;37;1007;0.8;100;0;0;0;735638.791666667;0;5.67
39;20;5.5;0;0;2.22;5;1006;0.3;100;0;0;0;735638.833333333;0;5.89166666666667
39;21;4.8;0;0;3.06;339;1007;0.2;100;0;0;0;735638.875;0;5.88
39;22;4.7;0;0;2.5;330;1006;0.2;100;0;0;0;735638.916666667;0;5.49333333333333
39;23;4.4;0;0;2.5;331;1005;0.2;100;0;0;0;735638.958333333;0;5.51333333333333
40;0;5;0;0;1.67;276;1004;0;100;0;0;0;735639;0;5.65833333333333
40;1;4.7;0;0;1.67;270;1004;0;100;0;0;0;735639.041666667;0;5.54833333333333
40;2;4.5;0;0;1.94;256;1004;0;100;0;0;0;735639.083333333;0;5.59
40;3;4.4;0;0;1.67;297;1002;0;99;0;0;0;735639.125;0;5.33666666666667
40;4;4.3;0;0;1.94;287;1002;0;100;0;0;0;735639.166666667;0;5.69
40;5;4;0;0;1.39;275;1002;0;99;0;0;0;735639.208333333;0.166666666666667;5.2
40;6;4.1;0;0;1.39;278;1002;0;83;0;0;0;735639.25;0;4.63666666666667
40;7;3.5;0;0;0.83;278;1002;0;32;0;0;0;735639.291666667;0.166666666666667;4.43333333333333
40;8;3.4;64;128;1.39;285;1003;0;13;0;3.02682129330106;96;735639.333333333;17.1666666666667;4.70333333333333
